[2019-10-10 20:00:18,988] - logger.py] - INFO: 开始执行test_011
[2019-10-10 20:00:19,101] - logger.py] - INFO: test_011 pass
[2019-10-10 20:00:24,016] - logger.py] - INFO: 开始执行test_001
[2019-10-10 20:00:24,191] - logger.py] - INFO: test_001 pass
[2019-10-10 20:00:24,194] - logger.py] - INFO: 开始执行test_002
[2019-10-10 20:00:24,316] - logger.py] - INFO: 开始执行test_003
[2019-10-10 20:00:25,366] - logger.py] - INFO: 开始执行test_004
[2019-10-10 20:00:25,467] - logger.py] - INFO: test_004pass
[2019-10-10 20:00:25,470] - logger.py] - INFO: 开始执行test_005
[2019-10-10 20:00:26,086] - logger.py] - INFO: test_004 pass
[2019-10-10 20:00:26,086] - logger.py] - INFO: 开始执行test_006
[2019-10-10 20:00:26,289] - logger.py] - INFO: test_006 pass
[2019-10-10 20:00:26,305] - logger.py] - INFO: 开始执行test_007
[2019-10-10 20:00:26,383] - logger.py] - INFO: 开始执行test_008
[2019-10-10 20:00:26,726] - logger.py] - INFO: test_008 pass
[2019-10-10 20:00:26,742] - logger.py] - INFO: 开始执行test_009
[2019-10-10 20:00:26,742] - logger.py] - INFO: test_008 pass
[2019-10-10 20:00:26,742] - logger.py] - INFO: 开始执行test_0010
[2019-10-10 20:00:29,858] - logger.py] - INFO: 开始执行test_user001
[2019-10-10 20:00:30,121] - logger.py] - INFO: test_user001 pass
[2019-10-10 20:00:30,136] - logger.py] - INFO: 开始执行test_user002
[2019-10-10 20:00:30,308] - logger.py] - INFO: 开始执行test_user003
[2019-10-10 20:00:30,402] - logger.py] - INFO: 开始执行test_user003
[2019-10-10 20:00:30,527] - logger.py] - INFO: test_user004 pass
[2019-10-10 20:00:30,527] - logger.py] - INFO: 开始执行test_user005
[2019-10-10 20:00:31,205] - logger.py] - INFO: test_user005 pass
[2019-10-10 20:00:31,205] - logger.py] - INFO: 开始执行test_user006
[2019-10-10 20:00:31,315] - logger.py] - INFO: test_user006 pass
[2019-10-10 20:00:31,315] - logger.py] - INFO: 开始执行test_user007
[2019-10-10 20:00:31,408] - logger.py] - INFO: test_user007 pass
[2019-10-10 20:00:31,408] - logger.py] - INFO: 开始执行test_user008
[2019-10-10 20:00:31,502] - logger.py] - INFO: test_user008 pass
[2019-10-10 20:00:31,502] - logger.py] - INFO: 开始执行test_user009
[2019-10-10 20:00:31,612] - logger.py] - INFO: test_user009 pass
[2019-10-10 20:00:31,612] - logger.py] - INFO: 开始执行test_user012
[2019-10-10 20:00:31,722] - logger.py] - INFO: test_user012 pass
[2019-10-10 20:00:31,725] - logger.py] - INFO: 开始执行test_user013
[2019-10-10 20:00:31,810] - logger.py] - INFO: 开始执行test_user014
[2019-10-10 20:00:33,316] - logger.py] - INFO: test_user014 pass
[2019-10-10 20:00:33,316] - logger.py] - INFO: 开始执行test_user015
[2019-10-10 20:00:33,409] - logger.py] - INFO: 开始执行test_user016
[2019-10-10 20:00:33,503] - logger.py] - INFO: 开始执行test_user017
[2019-10-10 20:00:33,597] - logger.py] - INFO: 开始执行test_user018
[2019-10-10 20:00:36,227] - logger.py] - INFO: 开始执行test001
[2019-10-10 20:00:37,008] - logger.py] - INFO: test001 pass
[2019-10-10 20:00:37,008] - logger.py] - INFO: 开始执行test002
[2019-10-10 20:00:37,118] - logger.py] - INFO: 开始执行test003
[2019-10-10 20:00:37,211] - logger.py] - INFO: 开始执行test004
[2019-10-10 20:00:37,305] - logger.py] - INFO: test004 pass
[2019-10-10 20:00:37,305] - logger.py] - INFO: 开始执行test005
[2019-10-10 20:00:38,212] - logger.py] - INFO: test005 pass
[2019-10-10 20:00:38,212] - logger.py] - INFO: 开始执行test006
[2019-10-10 20:00:38,337] - logger.py] - INFO: test006 pass
[2019-10-10 20:00:38,337] - logger.py] - INFO: 开始执行test007
[2019-10-10 20:00:38,977] - logger.py] - INFO: test008 pass
[2019-10-10 20:00:38,977] - logger.py] - INFO: 开始执行test009
[2019-10-10 20:00:39,055] - logger.py] - INFO: test008 pass
[2019-10-10 20:00:39,055] - logger.py] - INFO: 开始执行test009
[2019-10-10 20:00:39,133] - logger.py] - INFO: 开始执行test010
[2019-10-10 20:00:39,202] - logger.py] - INFO: test010 pass
[2019-10-10 20:00:39,202] - logger.py] - INFO: 开始执行test012
[2019-10-10 20:00:39,312] - logger.py] - INFO: test011 pass
[2019-10-10 20:00:39,312] - logger.py] - INFO: 开始执行test012
[2019-10-10 20:00:39,399] - logger.py] - INFO: test012 pass
[2019-10-10 20:00:39,415] - logger.py] - INFO: 开始执行test013
[2019-10-10 20:00:39,509] - logger.py] - INFO: test013 pass
[2019-10-10 20:00:39,509] - logger.py] - INFO: 开始执行test014
[2019-10-10 20:00:39,681] - logger.py] - INFO: test014 pass
[2019-10-10 20:00:39,696] - logger.py] - INFO: 开始执行test015
[2019-10-10 20:00:39,790] - logger.py] - INFO: test015 pass
[2019-10-10 20:00:42,468] - logger.py] - INFO: 开始执行test001
[2019-10-10 20:00:42,593] - logger.py] - INFO: test001 pass
[2019-10-10 20:00:42,593] - logger.py] - INFO: 开始执行test002
[2019-10-10 20:00:42,781] - logger.py] - INFO: 开始执行test003
[2019-10-10 20:00:42,875] - logger.py] - INFO: 开始执行test004
[2019-10-10 20:00:42,953] - logger.py] - INFO: test004 pass
[2019-10-10 20:00:42,953] - logger.py] - INFO: 开始执行test005
[2019-10-10 20:00:44,250] - logger.py] - INFO: test005 pass
[2019-10-10 20:00:44,250] - logger.py] - INFO: 开始执行test006
[2019-10-10 20:00:44,352] - logger.py] - INFO: 开始执行test007
[2019-10-10 20:00:44,368] - logger.py] - INFO: 开始执行test008
[2019-10-10 20:00:44,368] - logger.py] - INFO: 开始执行test009
[2019-10-10 20:00:44,368] - logger.py] - INFO: 开始执行test010
[2019-10-10 20:00:44,477] - logger.py] - INFO: test_010 pass
[2019-10-10 20:01:17,025] - logger.py] - INFO: 开始执行test_001
[2019-10-10 20:01:17,158] - logger.py] - INFO: test_001 pass
[2019-10-10 20:01:17,162] - logger.py] - INFO: 开始执行test_002
[2019-10-10 20:01:17,335] - logger.py] - INFO: test_002 pass
[2019-10-10 20:01:17,338] - logger.py] - INFO: 开始执行test_003
[2019-10-10 20:01:17,451] - logger.py] - INFO: 开始执行test_004
[2019-10-10 20:01:17,559] - logger.py] - INFO: test_004 pass
[2019-10-10 20:01:17,562] - logger.py] - INFO: 开始执行test_005
[2019-10-10 20:01:17,660] - logger.py] - INFO: test_005 pass
[2019-10-10 20:01:17,663] - logger.py] - INFO: 开始执行test_006
[2019-10-10 20:01:17,764] - logger.py] - INFO: test_006 pass
[2019-10-10 20:01:17,767] - logger.py] - INFO: 开始执行test_007
[2019-10-10 20:01:17,869] - logger.py] - INFO: test_007 pass
[2019-10-10 20:01:17,872] - logger.py] - INFO: 开始执行test_008
[2019-10-10 20:01:18,522] - logger.py] - INFO: test_008 pass
[2019-10-10 20:01:18,525] - logger.py] - INFO: 开始执行test_009
[2019-10-10 20:01:18,654] - logger.py] - INFO: test_009 pass
[2019-10-10 20:01:18,657] - logger.py] - INFO: 开始执行test_010
[2019-10-10 20:01:18,755] - logger.py] - INFO: test_010 pass
[2019-10-10 20:01:18,758] - logger.py] - INFO: 开始执行test_011
[2019-10-10 20:01:18,910] - logger.py] - INFO: test_011 pass
[2019-10-10 20:01:23,205] - logger.py] - INFO: 开始执行test_001
[2019-10-10 20:01:23,428] - logger.py] - INFO: test_001 pass
[2019-10-10 20:01:23,431] - logger.py] - INFO: 开始执行test_002
[2019-10-10 20:01:23,612] - logger.py] - INFO: 开始执行test_003
[2019-10-10 20:01:24,299] - logger.py] - INFO: 开始执行test_004
[2019-10-10 20:01:24,405] - logger.py] - INFO: test_004pass
[2019-10-10 20:01:24,407] - logger.py] - INFO: 开始执行test_005
[2019-10-10 20:01:25,630] - logger.py] - INFO: test_004 pass
[2019-10-10 20:01:25,632] - logger.py] - INFO: 开始执行test_006
[2019-10-10 20:01:25,749] - logger.py] - INFO: test_006 pass
[2019-10-10 20:01:25,751] - logger.py] - INFO: 开始执行test_007
[2019-10-10 20:01:25,845] - logger.py] - INFO: 开始执行test_008
[2019-10-10 20:01:26,325] - logger.py] - INFO: test_008 pass
[2019-10-10 20:01:26,328] - logger.py] - INFO: 开始执行test_009
[2019-10-10 20:01:26,332] - logger.py] - INFO: test_008 pass
[2019-10-10 20:01:26,333] - logger.py] - INFO: 开始执行test_0010
[2019-10-10 20:01:33,416] - logger.py] - INFO: 开始执行test_user001
[2019-10-10 20:01:33,595] - logger.py] - INFO: test_user001 pass
[2019-10-10 20:01:33,595] - logger.py] - INFO: 开始执行test_user002
[2019-10-10 20:01:33,776] - logger.py] - INFO: 开始执行test_user003
[2019-10-10 20:01:33,886] - logger.py] - INFO: 开始执行test_user003
[2019-10-10 20:01:34,011] - logger.py] - INFO: test_user004 pass
[2019-10-10 20:01:34,013] - logger.py] - INFO: 开始执行test_user005
[2019-10-10 20:01:34,707] - logger.py] - INFO: test_user005 pass
[2019-10-10 20:01:34,709] - logger.py] - INFO: 开始执行test_user006
[2019-10-10 20:01:34,815] - logger.py] - INFO: test_user006 pass
[2019-10-10 20:01:34,816] - logger.py] - INFO: 开始执行test_user007
[2019-10-10 20:01:34,911] - logger.py] - INFO: test_user007 pass
[2019-10-10 20:01:34,912] - logger.py] - INFO: 开始执行test_user008
[2019-10-10 20:01:35,020] - logger.py] - INFO: test_user008 pass
[2019-10-10 20:01:35,022] - logger.py] - INFO: 开始执行test_user009
[2019-10-10 20:01:35,343] - logger.py] - INFO: test_user009 pass
[2019-10-10 20:01:35,344] - logger.py] - INFO: 开始执行test_user012
[2019-10-10 20:01:35,435] - logger.py] - INFO: test_user012 pass
[2019-10-10 20:01:35,435] - logger.py] - INFO: 开始执行test_user013
[2019-10-10 20:01:35,643] - logger.py] - INFO: 开始执行test_user014
